image,label
TRAIN_00000.png,1753
TRAIN_00001.png,1281
TRAIN_00002.png,1705
TRAIN_00003.png,1281
TRAIN_00004.png,1074
TRAIN_00005.png,1753
TRAIN_00006.png,2254
TRAIN_00007.png,1281
TRAIN_00008.png,1753
TRAIN_00009.png,1074
TRAIN_00010.png,1281
TRAIN_00011.png,1705
TRAIN_00012.png,1074
TRAIN_00013.png,1281
TRAIN_00014.png,1705
TRAIN_00015.png,1281
TRAIN_00016.png,1705
TRAIN_00017.png,1281
TRAIN_00018.png,-1
TRAIN_00019.png,1705
TRAIN_00020.png,1074
TRAIN_00021.png,1281
TRAIN_00022.png,1705
TRAIN_00023.png,-1
TRAIN_00024.png,1281
TRAIN_00025.png,1705
TRAIN_00026.png,-1
TRAIN_00027.png,1281
TRAIN_00028.png,2233
TRAIN_00029.png,1074
TRAIN_00030.png,2233
TRAIN_00031.png,-1
TRAIN_00032.png,1705
TRAIN_00033.png,2233
TRAIN_00034.png,1753
TRAIN_00035.png,1074
TRAIN_00036.png,2233
TRAIN_00037.png,1705
TRAIN_00038.png,1074
TRAIN_00039.png,2233
TRAIN_00040.png,1705
TRAIN_00041.png,-1
TRAIN_00042.png,1209
TRAIN_00043.png,510
TRAIN_00044.png,1209
TRAIN_00045.png,510
TRAIN_00046.png,538
TRAIN_00047.png,1209
TRAIN_00048.png,510
TRAIN_00049.png,510
TRAIN_00050.png,1209
TRAIN_00051.png,538
TRAIN_00052.png,510
TRAIN_00053.png,1209
TRAIN_00054.png,538
TRAIN_00055.png,510
TRAIN_00056.png,510
TRAIN_00057.png,41
TRAIN_00058.png,510
TRAIN_00059.png,41
TRAIN_00060.png,1195
TRAIN_00061.png,510
TRAIN_00062.png,1195
TRAIN_00063.png,41
TRAIN_00064.png,510
TRAIN_00065.png,1195
TRAIN_00066.png,41
TRAIN_00067.png,510
TRAIN_00068.png,1195
TRAIN_00069.png,41
TRAIN_00070.png,538
TRAIN_00071.png,1195
TRAIN_00072.png,292
TRAIN_00073.png,1195
TRAIN_00074.png,510
TRAIN_00075.png,538
TRAIN_00076.png,510
TRAIN_00077.png,1195
TRAIN_00078.png,538
TRAIN_00079.png,510
TRAIN_00080.png,1195
TRAIN_00081.png,292
TRAIN_00082.png,510
TRAIN_00083.png,1195
TRAIN_00084.png,538
TRAIN_00085.png,41
TRAIN_00086.png,510
TRAIN_00087.png,41
TRAIN_00088.png,1196
TRAIN_00089.png,538
TRAIN_00090.png,1196
TRAIN_00091.png,41
TRAIN_00092.png,538
TRAIN_00093.png,1196
TRAIN_00094.png,41
TRAIN_00095.png,510
TRAIN_00096.png,1196
TRAIN_00097.png,41
TRAIN_00098.png,538
TRAIN_00099.png,1196
TRAIN_00100.png,538
TRAIN_00101.png,1196
TRAIN_00102.png,510
TRAIN_00103.png,538
TRAIN_00104.png,538
TRAIN_00105.png,1196
TRAIN_00106.png,538
TRAIN_00107.png,510
TRAIN_00108.png,1196
TRAIN_00109.png,538
TRAIN_00110.png,510
TRAIN_00111.png,1196
TRAIN_00112.png,1238
TRAIN_00113.png,1751
TRAIN_00114.png,1238
TRAIN_00115.png,1319
TRAIN_00116.png,774
TRAIN_00117.png,1238
TRAIN_00118.png,774
